Depth,Inclination,Azimuth
1290,0.55,14.01
1300,0.55,14.01
1310,0.55,14.01
1320,0.55,14.01
1330,0.55,14.01
1340,0.55,14.01
1350,0.55,14.01
1360,0.55,14.01
1370,0.55,14.01
1380,0.55,14.01
1390,0.55,14.01
1400,0.55,14.01
1410,0.653,29.555
1420,0.789,40.319
1430,0.945,47.729
1440,1.112,52.979
1450,1.286,56.834
1460,1.465,59.76
1470,1.646,62.046
1480,1.83,63.876
1490,2.015,65.371
1500,2.201,66.614
1510,2.389,67.663
1520,2.576,68.559
1530,2.765,69.334
1540,2.953,70.009
1550,3.143,70.603
1560,3.332,71.13
1570,3.522,71.6
1580,3.712,72.023
1590,3.902,72.404
1600,4.092,72.749
1610,4.282,73.064
1620,4.473,73.353
1630,4.664,73.617
1640,4.854,73.861
1650,5.045,74.087
1660,5.236,74.296
1670,5.427,74.491
1680,5.618,74.672
1690,5.809,74.841
1700,6,75
1710,6,75
1720,6,75
1730,6,75
1740,6,75
1750,6,75
1760,6,75
1770,6,75
1780,6,75
1790,6,75
1800,6,75
1810,6,75
1820,6,75
1830,6,75
1840,6,75
1850,6,75
1860,6,75
1870,6,75
1880,6,75
1890,6,75
1900,6,75
1910,6,75
1920,6,75
1930,6,75
1940,6,75
1950,6,75
1960,6,75
1970,6,75
1980,6,75
1990,6,75
2000,6,75
2010,6,75
2020,6,75
2030,6,75
2040,6,75
2050,6,75
2060,6,75
2070,6,75
2080,6,75
2090,6,75
2100,6,75
2110,6.608,75
2120,7.215,75
2130,7.823,75
2140,8.43,75
2150,9.038,75
2160,9.646,75
2170,10.253,75
2180,10.861,75
2190,11.468,75
2200,12.076,75
2210,12.684,75
2220,13.291,75
2230,13.899,75
2240,14.506,75
2250,15.114,75
2260,15.722,75
2270,16.329,75
2280,16.937,75
2290,17.544,75
2300,18.152,75
2310,18.759,75
2320,19.367,75
2330,19.975,75
2340,20.582,75
2350,21.19,75
2360,21.797,75
2370,22.405,75
2380,23.013,75
2390,23.62,75
2400,24.228,75
2410,24.835,75
2420,25.443,75
2430,26.051,75
2440,26.658,75
2450,27.266,75
2460,27.873,75
2470,28.481,75
2480,29.089,75
2490,29.696,75
2495,30,75
2500,30.142,75.561
2510,30.433,76.667
2520,30.733,77.754
2530,31.042,78.823
2540,31.359,79.871
2550,31.685,80.901
2560,32.02,81.912
2570,32.361,82.904
2580,32.711,83.877
2590,33.068,84.831
2600,33.432,85.767
2610,33.803,86.686
2620,34.181,87.586
2630,34.565,88.469
2640,34.955,89.335
2650,35.352,90.184
2660,35.754,91.017
2670,36.162,91.833
2680,36.575,92.634
2690,36.993,93.419
2700,37.417,94.189
2710,37.845,94.944
2720,38.279,95.684
2730,38.716,96.41
2740,39.159,97.123
2750,39.605,97.822
2760,40.055,98.508
2770,40.51,99.182
2780,40.968,99.842
2790,41.43,100.491
2800,41.896,101.128
2810,42.365,101.754
2820,42.838,102.368
2830,43.313,102.971
2840,43.792,103.564
2850,44.274,104.147
2860,44.758,104.719
2870,45.246,105.282
2880,45.736,105.836
2890,46.229,106.38
2900,46.724,106.915
2910,47.222,107.442
2920,47.722,107.96
2930,48.225,108.47
2940,48.73,108.973
2950,49.237,109.467
2960,49.746,109.954
2970,50.257,110.433
2980,50.769,110.906
2990,51.284,111.372
3000,51.801,111.831
3010,52.319,112.283
3020,52.839,112.729
3030,53.361,113.17
3040,53.884,113.604
3050,54.409,114.032
3060,54.936,114.455
3070,55.463,114.873
3080,55.993,115.285
3090,56.523,115.692
3100,57.055,116.094
3110,57.588,116.491
3120,58.123,116.884
3130,58.658,117.272
3140,59.195,117.655
3150,59.733,118.035
3160,60.272,118.41
3170,60.812,118.781
3180,61.353,119.149
3190,61.895,119.512
3200,62.438,119.872
3210,62.982,120.229
3220,63.526,120.582
3230,64.072,120.931
3240,64.619,121.278
3250,65.166,121.621
3260,65.714,121.961
3270,66.263,122.298
3280,66.812,122.633
3290,67.362,122.965
3300,67.913,123.294
3310,68.465,123.62
3320,69.017,123.944
3330,69.57,124.266
3340,70.123,124.585
3350,70.677,124.902
3360,71.231,125.217
3370,71.786,125.53
3380,72.342,125.841
3390,72.898,126.15
3400,73.454,126.458
3410,74.011,126.763
3420,74.568,127.067
3430,75.126,127.369
3440,75.684,127.669
3450,76.243,127.968
3460,76.802,128.266
3470,77.361,128.562
3480,77.92,128.857
3490,78.48,129.151
3500,79.04,129.444
3510,79.601,129.735
3520,80.161,130.025
3530,80.722,130.315
3540,81.283,130.603
3550,81.845,130.891
3560,82.406,131.178
3570,82.968,131.464
3580,83.53,131.749
3590,84.092,132.034
3600,84.654,132.318
3610,85.217,132.602
3620,85.779,132.885
3630,86.342,133.168
3640,86.904,133.45
3650,87.467,133.733
3660,88.03,134.015
3670,88.593,134.296
3680,89.156,134.578
3690,89.719,134.859
3695,90,135
3700,90,135
