Depth,Inclination,Azimuth
290.7,0.1234156,73.85845
343.4,0.09256176,55.55809
404.8,0.400769,42.6178
412.8,0.3099084,33.84199
517.6,0.55,95.89
646.1,0.42,123.55
770,0.49,125.45
895.1,0.39,119.46
1021,0.35,112.65
1271.5,0.4020631,125.1585
1396.1,0.2839982,86.1305
1522.7,0.3445823,94.51864
1644.6,0.3861771,80.44149
1769.8,0.5077493,45.52217
1895.1,0.6804547,49.23093
2017.5,0.6057723,39.45182
2146.122078,0.6769869,17.11528
2270.756936,0.8370047,24.3475
2398.3,0.8127623,36.67971
2514,0.7866935,43.37438
2575,0.8201686,40.542
2636.1,0.7988123,30.07349
2761.1,2.72,340.49
2887.9,6.592886,339.1273
3013,9.534466,335.0449
3264.4,16.01328,336.3561
3511.8,16.1,336.49
3633,15.89731,336.3293
3882.4,15.55046,335.8271
4010.7,15.3618,336.1965
4136.8,15.21726,335.5345
4261.3,15.13249,333.2357
4760.2,14.5651,331.7549
4880.8,14.36812,330.6028
5133.5,13.85959,330.4368
5256.8,13.38018,329.2664
6001.1,8.610552,332.7966
6101.1,6.33,329.89
6129.199238,5.10851,329.7453
6252.685198,2.082184,336.2984
6878.5,1.034926,18.56613
7378.3,2.006995,19.04411
7482.4,1.972711,21.52034
